36.0014,78.9382,40004,28,85,1,1.61E+07
42.3355,71.1685,44500,32,76,1,1.92E+07
43.0481,76.1474,49262,51,53,1,1.92E+07
40.4444,79.9608,60190,58,22,1,2.25E+07
38.0336,78.508,61500,77,31,1,1.90E+07
37.2284,80.4234,66233,11,25,1,3.12E+07
35.7847,78.6821,57583,29,9,1,2.20E+07
35.9049,79.0469,62562,109,17,1,2.21E+07
34.6834,82.8374,81500,2,29,1,3.92E+07
33.7756,84.3963,55000,63,32,1,2.49E+07
27.6648,81.5158,79000,59,18.1,1,3.45E+07
36.1339,80.278,31500,35,74,1,1.02E+07
38.2123,85.7585,47925,64,25.4,1,2.38E+07
25.7192,80.2771,65326,19,49,1,2.46E+07
41.6627,91.5549,70585,31,38,2,4.59E+07
40.102,88.2272,60670,91,7,2,2.53E+07
39.1784,86.5133,52929,64,44.9,2,2.18E+07
40.4237,86.9212,57236,83,38,2,1.81E+07
39.9869,76.9426,51802,30,32,2,1.15E+07
42.278,83.7382,107601,15,38,2,8.52E+07
44.974,93.2277,52525,47,25,2,3.23E+07
43.0766,89.4125,80321,7,37.9,2,4.84E+07
42.055984,87.675171,47130,40,80,2,2.75E+07
40.8202,96.7005,90000,60,23.8,2,5.51E+07
42.7018,84.4822,75005,32,13,2,4.45E+07
40.7982,77.8599,106572,10,25,2,7.02E+07
40.0142,83.0309,104944,4,15,2,5.81E+07
40.5008,74.4474,52454,101,8,2,1.95E+07
39.6361,79.9559,60000,18,53.9,3,2.95E+07
42.0266,93.6465,61500,40,31,3,2.00E+07
39.1974,96.5847,50000,60,18.7,3,1.76E+07
38.9543,95.2558,50071,100,39.2,3,1.79E+07
36.127,97.0737,60000,36,32.7,3,4.11E+07
35.2059,97.4457,86112,6,40.3,3,5.96E+07
33.5843,101.8783,60454,66,10,3,2.62E+07
32.7095,97.3628,50000,24,25,3,2.60E+07
31.5497,97.1143,45140,65,19,3,1.44E+07
30.2849,97.7341,100119,34,8,3,1.04E+08
32.2319,110.9501,63400,78,41,4,2.44E+07
33.4242,111.9281,71706,31,35,4,2.96E+07
37.8719,122.2585,63000,38,8,4,2.44E+07
34.0689,118.4452,90888,88,10,4,2.52E+07
40.0076,105.2659,53613,23,3,4,2.62E+07
44.0448,123.0726,54000,19,48,4,5.19E+07
44.5638,123.2794,45674,90,27,4,2.07E+07
34.0224,118.2851,93607,37,41,4,3.44E+07
37.4275,122.1697,50000,15,55,4,2.56E+07
40.7649,111.8421,45017,27,17,4,2.07E+07
47.6553,122.3035,70083,9,16,4,3.39E+07
46.7319,117.1542,35117,46,8,4,1.28E+07
29.6436,82.3549,79650,66,3,5,7.41E+07
33.948,83.3773,92746,3,10,5,7.50E+07
38.0307,84.504,67606,41,38,5,3.19E+07
38.9404,92.3277,71004,28,32,5,2.54E+07
33.9961,81.0274,80250,35,52,5,4.81E+07
35.9544,83.9295,102455,70,17,5,5.66E+07
36.1447,86.8027,39790,62,84,5,1.42E+07
33.214,87.5391,101821,1,31,5,8.20E+07
36.0678,94.1737,76000,97,50.5,5,4.85E+07
32.6099,85.4808,87451,8,43,5,6.62E+07
30.4133,91.18,102321,5,10,5,6.88E+07
34.3647,89.5384,24000,45,41,5,2.84E+07
33.4552,88.7944,61337,13,30,5,1.46E+07
30.6185,96.3365,102733,22,3,5,4.44E+07
41.3915,73.956,40000,71,94,0,1.38E+07
40.2518,111.6493,63725,56,66,0,2.24E+07
41.7056,86.2353,30000,8,92,0,6.90E+07
42.3912,72.5267,68756,115,26,0,5.48E+06
